ID,Brand,Price,Body,Mileage,EngineV,Engine Type,Registration,Year,Model
578,Volkswagen,17000.0,crossover,158,2.5,Diesel,yes,2007,Touareg
3207,Volkswagen,11900.0,sedan,144,1.6,Gas,yes,2009,Jetta
2506,Volkswagen,11000.0,vagon,171,1.9,Diesel,yes,2009,Golf Variant
2038,Mitsubishi,15900.0,crossover,180,3.0,Gas,yes,2008,Pajero Wagon
2029,Volkswagen,24000.0,sedan,105,2.0,Diesel,yes,2012,Passat CC
2730,BMW,3300.0,sedan,360,2.5,Petrol,yes,1992,525
3558,BMW,20500.0,other,114,,Other,yes,2008,325
2923,Volkswagen,10000.0,van,71,1.2,Petrol,yes,2013,Caddy
3521,Renault,4350.0,van,188,1.5,Diesel,yes,2004,Kangoo
1819,Volkswagen,10800.0,sedan,63,20.0,Petrol,yes,2007,Passat B6
2691,Volkswagen,29999.0,other,129,2.0,Diesel,yes,2014,Caravelle
2186,Volkswagen,17300.0,crossover,148,3.0,Diesel,yes,2007,Touareg
1251,Volkswagen,35800.0,crossover,92,3.0,Diesel,yes,2011,Touareg
1644,BMW,27900.0,sedan,170,3.0,Petrol,yes,2011,530
781,BMW,13000.0,sedan,220,2.5,Petrol,yes,2005,523
3870,Toyota,44700.0,crossover,120,3.5,Petrol,yes,2013,Venza
3734,Volkswagen,7800.0,hatch,230,1.6,Petrol,yes,2004,Golf V
2617,BMW,11900.0,sedan,160,2.5,Petrol,yes,2005,525
3529,Toyota,18300.0,hatch,30,1.6,Petrol,yes,2014,Auris
3711,Mercedes-Benz,7450.0,sedan,219,2.0,Petrol,yes,2000,C-Class
4275,Mercedes-Benz,109999.0,crossover,0,2.98,Diesel,yes,2016,GLS 350
2750,Volkswagen,22000.0,sedan,65,2.0,Petrol,yes,2012,Passat B7
1912,Audi,12999.0,vagon,225,2.5,Diesel,yes,2004,A6 Allroad
4194,Mercedes-Benz,23900.0,sedan,124,1.8,Petrol,yes,2012,E-Class
758,Volkswagen,4999.0,sedan,145,2.0,Petrol,yes,2000,Bora
3104,Toyota,11300.0,sedan,260,3.5,Gas,yes,2007,Camry
1496,Toyota,20500.0,crossover,225,4.7,Gas,yes,2003,Land Cruiser 100
3936,Renault,8700.0,van,183,1.9,Diesel,yes,2004,Trafic
750,BMW,5000.0,sedan,400,2.5,Petrol,yes,1991,525
2105,Toyota,21800.0,crossover,170,4.0,Gas,yes,2006,Land Cruiser Prado
3969,Mercedes-Benz,17800.0,van,162,1.8,Diesel,yes,2012,B 180
1803,Renault,8700.0,hatch,21,1.6,Petrol,yes,2011,Sandero
1580,Mercedes-Benz,9900.0,sedan,275,2.2,Other,yes,2005,E-Class
2597,BMW,42500.0,crossover,29,3.0,Petrol,yes,2011,X3
4095,BMW,14300.0,sedan,198,,Petrol,yes,2005,523
1817,Mercedes-Benz,2000.0,sedan,270,2.9,Diesel,no,1996,E-Class
362,Mercedes-Benz,24900.0,sedan,140,5.5,Petrol,yes,2009,S 550
1380,Audi,29800.0,crossover,151,3.0,Diesel,yes,2007,Q7
3690,Renault,13900.0,vagon,89,1.5,Diesel,yes,2013,Megane
1272,Toyota,29500.0,crossover,90,2.7,Gas,yes,2010,Land Cruiser Prado
3846,Mercedes-Benz,9999.0,sedan,322,2.7,Diesel,yes,2000,E-Class
603,Mercedes-Benz,199999.0,crossover,0,5.5,Petrol,yes,2016,GLS 63
3626,Toyota,47700.0,crossover,810,4.7,Gas,yes,2010,Land Cruiser 200
930,Mercedes-Benz,17300.0,sedan,107,1.8,Petrol,yes,2008,C-Class
2615,Toyota,23000.0,other,211,4.0,Gas,yes,2007,Land Cruiser Prado
3741,Mitsubishi,9800.0,sedan,148,2.0,Gas,yes,2008,Lancer X
2862,Mitsubishi,12999.0,crossover,84,2.4,Petrol,yes,2009,Outlander XL
2595,Mercedes-Benz,4800.0,sedan,199,3.2,Diesel,yes,1999,E-Class
3964,Mercedes-Benz,24500.0,sedan,222,5.5,Petrol,yes,2005,S 550
1411,Volkswagen,4900.0,sedan,500,1.9,Diesel,yes,1995,Passat B4
189,BMW,38888.0,vagon,5,0.65,Other,yes,2015,I3
696,Audi,8600.0,sedan,154,1.8,Petrol,yes,2001,A6
3524,Renault,3300.0,van,256,1.5,Diesel,yes,2005,Kangoo
817,Mercedes-Benz,15500.0,sedan,270,3.2,Diesel,no,2007,S 320
1062,Mitsubishi,18600.0,crossover,52,2.0,Petrol,yes,2013,Outlander
851,BMW,5700.0,sedan,252,2.5,Diesel,yes,1997,525
4172,Volkswagen,20600.0,sedan,107,1.8,Petrol,yes,2012,Passat CC
3941,Renault,9450.0,vagon,215,1.5,Diesel,yes,2008,Laguna
1372,Volkswagen,8599.0,van,169,1.6,Diesel,yes,2011,Caddy
629,Mercedes-Benz,38600.0,other,12,1.8,Petrol,yes,2012,E-Class
1956,Toyota,26250.0,sedan,17,2.5,Petrol,yes,2015,Camry
27,Audi,6500.0,sedan,330,2.4,Petrol,yes,1999,A6
3462,Mercedes-Benz,104000.0,crossover,16,5.5,Petrol,yes,2015,ML 63 AMG
2531,Mitsubishi,1999.0,van,168,1.8,Petrol,no,2001,Space Star
2411,Volkswagen,8900.0,van,100,1.4,Gas,yes,2009,Caddy
3581,Renault,9100.0,vagon,176,1.5,Diesel,yes,2011,Scenic
184,Renault,10800.0,van,187,2.0,Diesel,yes,2012,Trafic
1117,Toyota,5800.0,sedan,200,2.2,Petrol,yes,1999,Camry
3929,Mercedes-Benz,200000.0,van,19,3.5,Petrol,yes,2013,Sprinter 324
347,Renault,11100.0,vagon,180,1.5,Diesel,yes,2012,Megane
1046,Volkswagen,6000.0,hatch,195,1.2,Gas,yes,2004,Polo
448,BMW,7000.0,sedan,280,3.0,Petrol,yes,2001,530
4133,Toyota,35999.0,crossover,102,4.0,Petrol,yes,2011,Land Cruiser Prado
3922,Volkswagen,2850.0,sedan,350,2.0,Petrol,yes,1990,Passat B3
1178,Audi,5000.0,sedan,280,2.3,Gas,yes,1992,100
1649,Volkswagen,16999.0,sedan,105,1.8,Petrol,yes,2011,Passat B7
499,Mercedes-Benz,13200.0,other,196,2.2,Other,yes,2012,Sprinter 313
756,Mercedes-Benz,11700.0,van,211,2.2,Diesel,yes,2007,Vito
1742,BMW,26500.0,sedan,70,3.0,Petrol,yes,2008,330
1429,BMW,57000.0,other,20,3.5,Petrol,yes,2013,X6
2346,BMW,34000.0,sedan,115,5.0,Petrol,yes,2008,750
1170,Toyota,2800.0,other,421,1.3,Gas,yes,1988,Corolla
1258,Audi,15800.0,hatch,123,1.4,Petrol,yes,2010,A3
1395,BMW,12000.0,crossover,218,3.0,Diesel,no,2006,X5
4137,BMW,9000.0,sedan,225,2.2,Gas,yes,2002,320
2443,Volkswagen,40000.0,other,170,2.0,Diesel,yes,2011,Multivan
2908,BMW,99999.0,other,0,3.0,Petrol,yes,2016,640
2102,Audi,1900.0,sedan,450,2.5,Diesel,no,1996,A6
340,BMW,66900.0,crossover,70,3.0,Diesel,yes,2014,X5
1490,Toyota,9800.0,sedan,178,1.8,Petrol,yes,2007,Avensis
1532,BMW,12950.0,sedan,268,4.0,Diesel,yes,2004,740
487,Mercedes-Benz,2900.0,other,248,2.0,Petrol,no,1999,CLK 200
585,Audi,38500.0,vagon,75,2.0,Diesel,yes,2013,Q3
3800,Mercedes-Benz,8400.0,other,457,5.0,Gas,yes,1996,S 140
3071,Audi,2999.0,vagon,320,,Diesel,no,1999,A6
3002,Mercedes-Benz,42500.0,sedan,140,5.5,Petrol,yes,2011,S 500
3927,Mitsubishi,21500.0,crossover,47,2.4,Petrol,yes,2012,Outlander XL
2483,Audi,6500.0,vagon,421,2.5,Diesel,yes,1996,A6
4320,Mercedes-Benz,5500.0,sedan,440,2.0,Petrol,yes,1978,E-Class
2590,BMW,9800.0,sedan,264,3.0,Diesel,yes,2001,530
1920,Mercedes-Benz,16500.0,van,386,2.2,Diesel,yes,2006,Sprinter 313
66,Renault,9700.0,van,245,2.0,Diesel,yes,2008,Trafic
3923,Mercedes-Benz,5800.0,van,282,2.2,Diesel,yes,2001,Vito
2674,Mercedes-Benz,37500.0,other,94,5.5,Petrol,yes,2009,CL 55 AMG
3547,Toyota,19400.0,crossover,88,2.0,Petrol,yes,2011,Rav 4
268,Volkswagen,18800.0,vagon,106,1.6,Diesel,yes,2013,Passat B7
2980,Mercedes-Benz,38500.0,sedan,56,2.2,Diesel,yes,2014,CLA-Class
1291,Mercedes-Benz,6900.0,sedan,239,2.3,Petrol,yes,1996,E-Class
1433,Toyota,48000.0,crossover,59,3.0,Diesel,yes,2014,Land Cruiser Prado
3956,Mercedes-Benz,3500.0,van,257,2.2,Diesel,no,2002,C-Class
1638,Volkswagen,9800.0,other,117,1.6,Diesel,yes,2014,Caddy
1224,Audi,14300.0,other,80,4.2,Petrol,yes,2004,A8
4139,Audi,63200.0,sedan,0,2.0,Petrol,yes,2016,A6
3478,BMW,4500.0,sedan,300,3.0,Diesel,yes,2000,330
1598,Toyota,10400.0,sedan,87,1.6,Petrol,yes,2008,Corolla
72,Mercedes-Benz,8700.0,sedan,240,2.2,Diesel,yes,2000,E-Class
3710,Volkswagen,2600.0,sedan,280,2.5,Diesel,no,2000,Passat B5
1110,Volkswagen,15900.0,sedan,150,2.0,Diesel,yes,2012,Passat B7
233,Mercedes-Benz,13500.0,van,350,2.9,Diesel,yes,2000,Sprinter 312
3097,Mitsubishi,8200.0,sedan,160,2.0,Gas,yes,2007,Lancer X
2567,Mercedes-Benz,1200.0,sedan,240,2.4,Petrol,no,1999,E-Class
3994,Mercedes-Benz,58999.0,crossover,0,2.2,Diesel,yes,2016,GLC-Class
3052,Mercedes-Benz,28500.0,sedan,86,5.5,Petrol,yes,2007,S 500
1483,Mercedes-Benz,14500.0,other,315,5.0,Gas,yes,2004,CL 500
3137,Toyota,14474.0,crossover,115,2.0,Petrol,yes,2007,Rav 4
94,Audi,2650.0,vagon,333,2.5,Diesel,no,2000,A6
1679,Toyota,28999.0,sedan,86,3.5,Petrol,yes,2013,Camry
1205,Volkswagen,12700.0,van,213,2.0,Diesel,yes,2012,T5 (Transporter) 
1965,Mercedes-Benz,17990.0,crossover,230,3.0,Diesel,yes,2007,R 320
